product_id,product_position,promotion,seasonal,sales_volume,sku,name,price,scraped_at,product_category,operational_profit
185102,Aisle,No,No,2823,272145190-250-2,BASIC PUFFER JACKET,20,01/01/2023 00:00,jackets,141.15
188771,Aisle,No,No,654,324052738-800-46,TUXEDO JACKET,169,03/01/2023 00:00,jackets,3.87
180176,End-cap,Yes,Yes,2220,335342680-800-44,SLIM FIT SUIT JACKET,129,05/01/2023 00:00,jackets,17.21
112917,Aisle,Yes,Yes,1568,328303236-420-44,STRETCH SUIT JACKET,129,07/01/2023 00:00,jackets,12.16
192936,End-cap,No,Yes,2942,312368260-800-2,DOUBLE FACED JACKET,139,09/01/2023 00:00,jackets,21.17
117590,End-cap,No,No,2968,320298385-807-2,CONTRASTING COLLAR JACKET,80,11/01/2023 00:00,jackets,37.10
189118,Front of Store,Yes,Yes,952,278112470-800-2,FAUX LEATHER PUFFER JACKET,70,13/01/2023 00:00,jackets,13.60
182157,Aisle,No,No,2421,322972485-431-46,SUIT JACKET IN 100% LINEN,159,15/01/2023 00:00,jackets,15.23
141861,Aisle,Yes,Yes,1916,313854165-401-46,100% WOOL SUIT JACKET,169,17/01/2023 00:00,jackets,11.34
137121,Aisle,No,Yes,656,312372602-800-2,100% FEATHER FILL PUFFER JACKET,169,19/01/2023 00:00,jackets,3.88
113143,Aisle,Yes,Yes,2663,316207900-710-2,HERRINGBONE TEXTURED JACKET,129,21/01/2023 00:00,jackets,20.64
140028,Aisle,Yes,Yes,1260,329186122-800-2,OVERSIZED CROPPED JACKET LIMITED EDITION,159,23/01/2023 00:00,jackets,7.92
134693,Aisle,Yes,No,2124,311297791-800-2,LEATHER BIKER JACKET,169,25/01/2023 00:00,jackets,12.57
151396,Front of Store,Yes,Yes,729,323134418-800-3,CROPPED LEATHER JACKET,439,27/01/2023 00:00,jackets,1.66
132889,Aisle,Yes,Yes,2265,311297555-706-2,FAUX LEATHER BOXY FIT JACKET,100,29/01/2023 00:00,jackets,22.65
152174,End-cap,No,No,2226,317012940-800-2,FAUX LEATHER JACKET,100,31/01/2023 00:00,jackets,22.26
129906,Aisle,No,No,2089,311292672-800-2,FAUX SUEDE BOMBER JACKET,70,02/02/2023 00:00,jackets,29.84
195879,Front of Store,Yes,Yes,2339,321496837-400-3,DENIM BOMBER JACKET,129,04/02/2023 00:00,jackets,18.13
155050,Aisle,No,Yes,2321,316205038-615-2,BOUCL? TEXTURED JACKET,129,06/02/2023 00:00,jackets,17.99
194410,End-cap,No,No,669,322972473-052-46,SUIT JACKET IN 100% LINEN,159,08/02/2023 00:00,jackets,4.21
141904,End-cap,Yes,Yes,1712,313845662-400-3,JACQUARD DENIM JACKET,109,10/02/2023 00:00,jackets,15.71
124981,Front of Store,No,Yes,1832,320264577-800-2,PADDED DENIM JACKET,90,12/02/2023 00:00,jackets,20.36
161909,Aisle,Yes,No,1290,315529534-705-3,LEATHER JACKET,299,14/02/2023 00:00,jackets,4.31
129152,End-cap,No,No,2356,320423517-800-2,LIGHTWEIGHT BOMBER JACKET,50,16/02/2023 00:00,jackets,47.12
183243,Front of Store,Yes,No,1524,328250627-251-46,SUIT JACKET,169,18/02/2023 00:00,jackets,9.02
198248,Front of Store,Yes,No,1644,311309526-800-2,FAUX LEATHER BOMBER JACKET,70,20/02/2023 00:00,jackets,23.49
